_info,unitPrice,skuId,meterId
"SQL Database Single Basic, B, B DTU, SQL Database, Databases, 1/Day, Consumption",0.161,DZH318Z0BQGZ/004K,cae64797-9ecf-4906-b517-6238c80c045f
"SQL Database Single Standard, S1 Secondary Active, S1 Secondary Active DTUs, SQL Database, Databases, 1/Day, Consumption",0.9677,DZH318Z0BQHF/00LW,c93b3016-1dfe-4347-a67c-1bc6a1ffcd36
"SQL Database Standard - Storage, Standard, Data Stored, SQL Database, Databases, 1 GB/Month, Consumption",0.221,DZH318Z0BQDT/000T,c8e7a8a0-7be2-4e4b-945a-6f23b880dc13
"SQL Database Single/Elastic Pool General Purpose - Compute DC-Series, 4 vCore, vCore, SQL Database, Databases, 1 Hour, Consumption",1.583,DZH318Z08M0H/00GC,c8e243b4-7abb-5378-97e0-bd43c1d83b13
"SQL Database Single General Purpose - Serverless - Compute Gen5, 80 vCore, 80 vCore - Free, SQL Database, Databases, 1 Hour, Consumption",0.0,DZH318Z0C124/00CJ,c854a75c-a65b-50f5-8fc9-978c32bbb206
"SQL Database Elastic Pool - Standard, 50 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",3.625,DZH318Z0BQHP/00CZ,c61d4186-f542-4ddc-af12-68e97afef4b1
"SQL Database Elastic Pool - Standard, 1200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",87.0,DZH318Z0BQHP/00BL,c61d4186-f542-4ddc-af12-68e97afef4b1
"SQL Database Elastic Pool - Standard, 200 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",14.5,DZH318Z0BQHP/00CJ,c61d4186-f542-4ddc-af12-68e97afef4b1
"SQL Database Elastic Pool - Standard, 3000 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",217.5,DZH318Z0BQHP/00FH,c61d4186-f542-4ddc-af12-68e97afef4b1
"SQL Database Elastic Pool - Standard, 300 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",21.75,DZH318Z0BQHP/00FX,c61d4186-f542-4ddc-af12-68e97afef4b1
"SQL Database Elastic Pool - Standard, 800 DTU Pack, eDTUs, SQL Database, Databases, 1/Day, Consumption",58.0,DZH318Z0BQHP/00BQ,c61d4186-f542-4ddc-af12-68e97afef4b1
